machine_type	instance_count	slots	memory	data_size_MB	features	observations	k	gross_runtime
m4.2xlarge	2	16	64000	8000	5	150000000	3	1126
m4.2xlarge	2	16	64000	8000	5	150000000	3	1127
m4.2xlarge	2	16	64000	8000	5	150000000	3	1151
m4.2xlarge	2	16	64000	8000	5	150000000	3	1156
m4.2xlarge	2	16	64000	8000	5	150000000	3	1216
r4.2xlarge	2	16	122000	10500	5	100000000	3	608
r4.2xlarge	2	16	122000	10500	5	100000000	3	610
r4.2xlarge	2	16	122000	10500	5	100000000	3	614
r4.2xlarge	2	16	122000	10500	5	100000000	5	770
r4.2xlarge	2	16	122000	10500	5	100000000	5	774
r4.2xlarge	2	16	122000	10500	5	100000000	5	778
r4.2xlarge	2	16	122000	10500	5	100000000	5	782
r4.2xlarge	2	16	122000	10500	5	100000000	7	1246
r4.2xlarge	2	16	122000	10500	5	100000000	7	2902
r4.2xlarge	2	16	122000	10500	5	100000000	7	3008
r4.2xlarge	2	16	122000	10500	5	100000000	7	3152
r4.2xlarge	2	16	122000	10500	5	100000000	9	1186
r4.2xlarge	2	16	122000	10500	5	100000000	9	1196
r4.2xlarge	2	16	122000	10500	5	100000000	9	2680
r4.2xlarge	2	16	122000	10500	5	100000000	9	2864
r4.2xlarge	2	16	122000	10500	5	100000000	9	2970
r4.2xlarge	2	16	122000	13200	5	125000000	3	788
r4.2xlarge	2	16	122000	13200	5	125000000	3	794
r4.2xlarge	2	16	122000	13200	5	125000000	3	798
r4.2xlarge	2	16	122000	13200	5	125000000	3	800
r4.2xlarge	2	16	122000	13200	5	125000000	3	804
r4.2xlarge	2	16	122000	13200	5	125000000	5	958
r4.2xlarge	2	16	122000	13200	5	125000000	5	960
r4.2xlarge	2	16	122000	13200	5	125000000	5	964
r4.2xlarge	2	16	122000	13200	5	125000000	5	972
r4.2xlarge	2	16	122000	13200	5	125000000	5	974
r4.2xlarge	2	16	122000	13200	5	125000000	7	1160
r4.2xlarge	2	16	122000	13200	5	125000000	7	1170
r4.2xlarge	2	16	122000	13200	5	125000000	7	2780
r4.2xlarge	2	16	122000	13200	5	125000000	7	2794
r4.2xlarge	2	16	122000	13200	5	125000000	9	1112
r4.2xlarge	2	16	122000	13200	5	125000000	9	1132
r4.2xlarge	2	16	122000	13200	5	125000000	9	2710
r4.2xlarge	2	16	122000	13200	5	125000000	9	2714
r4.2xlarge	2	16	122000	13200	5	125000000	9	2718
r4.2xlarge	2	16	122000	16000	5	150000000	3	920
r4.2xlarge	2	16	122000	16000	5	150000000	3	930
r4.2xlarge	2	16	122000	16000	5	150000000	3	934
r4.2xlarge	2	16	122000	16000	5	150000000	7	844
r4.2xlarge	2	16	122000	16000	5	150000000	7	856
r4.2xlarge	2	16	122000	16000	5	150000000	7	857
r4.2xlarge	2	16	122000	16000	5	150000000	7	1166
r4.2xlarge	2	16	122000	16000	5	150000000	9	806
r4.2xlarge	2	16	122000	18600	5	175000000	3	1724
r4.2xlarge	2	16	122000	18600	5	175000000	3	1750
r4.2xlarge	2	16	122000	18600	5	175000000	3	1752
r4.2xlarge	2	16	122000	18600	5	175000000	3	1760
r4.2xlarge	2	16	122000	18600	5	175000000	3	1780
r4.2xlarge	2	16	122000	18600	5	175000000	5	2676
r4.2xlarge	2	16	122000	18600	5	175000000	5	2686
