instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	396
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	190
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	274
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	340
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	234
2	r4.2xlarge	16	122000	263	1000000	20000000	0.001	256
2	r4.2xlarge	16	122000	284	2000000	20000000	0.01	276
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	748
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	574
2	r4.2xlarge	16	122000	291	3000000	20000000	0.01	340
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0005	352
2	r4.2xlarge	16	122000	394	1000000	30000000	0.01	232
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0005	552
2	r4.2xlarge	16	122000	426	2000000	30000000	0.01	352
2	r4.2xlarge	16	122000	436	3000000	30000000	0.0001	842
2	r4.2xlarge	16	122000	436	3000000	30000000	0.001	622
2	r4.2xlarge	16	122000	436	3000000	30000000	0.005	460
2	r4.xlarge	8	61000	284	2000000	20000000	0.001	680
4	m4.2xlarge	32	128000	284	2000000	20000000	0.001	312
4	r4.2xlarge	32	244000	131	1000000	10000000	0.001	174
4	r4.2xlarge	32	244000	142	2000000	10000000	0.001	246
4	r4.2xlarge	32	244000	145	3000000	10000000	0.001	274
4	r4.2xlarge	32	244000	263	1000000	20000000	0.001	222
4	r4.2xlarge	32	244000	284	2000000	20000000	0.005	260
4	r4.2xlarge	32	244000	291	3000000	20000000	0.0005	486
4	r4.2xlarge	32	244000	291	3000000	20000000	0.005	298
4	r4.2xlarge	32	244000	394	1000000	30000000	0.001	280
4	r4.2xlarge	32	244000	426	2000000	30000000	0.0005	480
4	r4.2xlarge	32	244000	426	2000000	30000000	0.005	306
4	r4.2xlarge	32	244000	436	3000000	30000000	0.0005	634
4	r4.2xlarge	32	244000	436	3000000	30000000	0.005	378
4	r4.xlarge	16	122000	284	2000000	20000000	0.001	484
6	m4.2xlarge	48	192000	284	2000000	20000000	0.001	310
6	r4.2xlarge	48	366000	131	1000000	10000000	0.001	174
6	r4.2xlarge	48	366000	142	2000000	10000000	0.0005	264
6	r4.2xlarge	48	366000	145	3000000	10000000	0.001	286
6	r4.2xlarge	48	366000	263	1000000	20000000	0.0005	254
6	r4.2xlarge	48	366000	263	1000000	20000000	0.005	164
6	r4.2xlarge	48	366000	284	2000000	20000000	0.0005	370
6	r4.2xlarge	48	366000	284	2000000	20000000	0.01	218
6	r4.2xlarge	48	366000	291	3000000	20000000	0.0001	582
6	r4.2xlarge	48	366000	291	3000000	20000000	0.001	426
6	r4.2xlarge	48	366000	291	3000000	20000000	0.01	268
6	r4.2xlarge	48	366000	394	1000000	30000000	0.001	268
6	r4.2xlarge	48	366000	426	2000000	30000000	0.0005	448
6	r4.2xlarge	48	366000	426	2000000	30000000	0.01	270
6	r4.2xlarge	48	366000	436	3000000	30000000	0.0005	560
6	r4.2xlarge	48	366000	436	3000000	30000000	0.01	330
6	r4.xlarge	24	183000	284	2000000	20000000	0.001	430
8	m4.2xlarge	64	256000	284	2000000	20000000	0.001	326
8	r4.2xlarge	64	488000	131	1000000	10000000	0.001	170
8	r4.2xlarge	64	488000	142	2000000	10000000	0.0001	320
8	r4.2xlarge	64	488000	142	2000000	10000000	0.005	194
8	r4.2xlarge	64	488000	145	3000000	10000000	0.001	290
8	r4.2xlarge	64	488000	263	1000000	20000000	0.001	216
