instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	382
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	398
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	208
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	154
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	138
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	366
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	216
2	r4.2xlarge	16	122000	142	2000000	10000000	0.01	188
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0001	406
2	r4.2xlarge	16	122000	145	3000000	10000000	0.0005	338
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	308
2	r4.2xlarge	16	122000	145	3000000	10000000	0.001	372
2	r4.2xlarge	16	122000	145	3000000	10000000	0.005	240
2	r4.2xlarge	16	122000	145	3000000	10000000	0.01	206
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0001	326
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0001	356
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0005	272
2	r4.2xlarge	16	122000	263	1000000	20000000	0.0005	298
2	r4.2xlarge	16	122000	263	1000000	20000000	0.001	256
2	r4.2xlarge	16	122000	263	1000000	20000000	0.005	208
2	r4.2xlarge	16	122000	263	1000000	20000000	0.005	230
2	r4.2xlarge	16	122000	263	1000000	20000000	0.01	174
2	r4.2xlarge	16	122000	263	1000000	20000000	0.01	190
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	522
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	580
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0001	676
2	r4.2xlarge	16	122000	284	2000000	20000000	0.0005	476
2	r4.2xlarge	16	122000	284	2000000	20000000	0.001	384
2	r4.2xlarge	16	122000	284	2000000	20000000	0.001	426
2	r4.2xlarge	16	122000	284	2000000	20000000	0.005	294
2	r4.2xlarge	16	122000	284	2000000	20000000	0.005	320
2	r4.2xlarge	16	122000	284	2000000	20000000	0.01	250
2	r4.2xlarge	16	122000	284	2000000	20000000	0.01	272
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	668
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	744
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0001	870
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	532
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	550
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	574
2	r4.2xlarge	16	122000	291	3000000	20000000	0.0005	602
2	r4.2xlarge	16	122000	291	3000000	20000000	0.001	480
2	r4.2xlarge	16	122000	291	3000000	20000000	0.005	360
2	r4.2xlarge	16	122000	291	3000000	20000000	0.005	378
2	r4.2xlarge	16	122000	291	3000000	20000000	0.005	404
2	r4.2xlarge	16	122000	291	3000000	20000000	0.01	306
2	r4.2xlarge	16	122000	291	3000000	20000000	0.01	340
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0001	418
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0001	454
2	r4.2xlarge	16	122000	394	1000000	30000000	0.0005	350
2	r4.2xlarge	16	122000	394	1000000	30000000	0.001	316
2	r4.2xlarge	16	122000	394	1000000	30000000	0.001	338
2	r4.2xlarge	16	122000	394	1000000	30000000	0.005	246
2	r4.2xlarge	16	122000	394	1000000	30000000	0.005	266
2	r4.2xlarge	16	122000	394	1000000	30000000	0.01	220
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0001	666
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0001	718
2	r4.2xlarge	16	122000	426	2000000	30000000	0.0005	546
2	r4.2xlarge	16	122000	426	2000000	30000000	0.001	492
2	r4.2xlarge	16	122000	426	2000000	30000000	0.005	370
2	r4.2xlarge	16	122000	426	2000000	30000000	0.005	402
2	r4.2xlarge	16	122000	426	2000000	30000000	0.01	324
2	r4.2xlarge	16	122000	426	2000000	30000000	0.01	352
2	r4.2xlarge	16	122000	436	3000000	30000000	0.0001	842
2	r4.2xlarge	16	122000	436	3000000	30000000	0.0005	686
2	r4.2xlarge	16	122000	436	3000000	30000000	0.001	618
2	r4.2xlarge	16	122000	436	3000000	30000000	0.005	462
2	r4.2xlarge	16	122000	436	3000000	30000000	0.005	496
2	r4.2xlarge	16	122000	436	3000000	30000000	0.01	392
2	r4.xlarge	8	61000	284	2000000	20000000	0.001	652
2	r4.xlarge	8	61000	284	2000000	20000000	0.001	680
2	r4.xlarge	8	61000	284	2000000	20000000	0.001	714
4	m4.2xlarge	32	128000	284	2000000	20000000	0.001	298
4	m4.2xlarge	32	128000	284	2000000	20000000	0.001	316
4	r4.2xlarge	32	244000	131	1000000	10000000	0.0001	232
4	r4.2xlarge	32	244000	131	1000000	10000000	0.0005	188
4	r4.2xlarge	32	244000	131	1000000	10000000	0.001	172
4	r4.2xlarge	32	244000	131	1000000	10000000	0.005	134
4	r4.2xlarge	32	244000	131	1000000	10000000	0.01	120
4	r4.2xlarge	32	244000	142	2000000	10000000	0.0001	332
4	r4.2xlarge	32	244000	142	2000000	10000000	0.0005	280
4	r4.2xlarge	32	244000	142	2000000	10000000	0.0005	290
4	r4.2xlarge	32	244000	142	2000000	10000000	0.001	260
4	r4.2xlarge	32	244000	142	2000000	10000000	0.005	194
4	r4.2xlarge	32	244000	142	2000000	10000000	0.01	170
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	364
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0001	384
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0005	296
4	r4.2xlarge	32	244000	145	3000000	10000000	0.0005	308
4	r4.2xlarge	32	244000	145	3000000	10000000	0.001	276
4	r4.2xlarge	32	244000	145	3000000	10000000	0.001	284
