instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
4	r4.2xlarge	32	244000	13200	5	125000000	9	388
4	r4.2xlarge	32	244000	16000	5	150000000	9	468
4	r4.2xlarge	32	244000	18600	5	175000000	9	524
4	r4.2xlarge	32	244000	20300	10	100000000	9	416
4	r4.2xlarge	32	244000	21300	5	200000000	9	616
10	r4.2xlarge	80	610000	13200	5	125000000	5	168
10	r4.2xlarge	80	610000	16000	5	150000000	9	190
10	r4.2xlarge	80	610000	18600	5	175000000	5	200
10	r4.2xlarge	80	610000	20300	10	100000000	7	174
10	r4.2xlarge	80	610000	21300	5	200000000	5	224
