instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime
2	m4.2xlarge	16	64000	8000	5	150000000	3	1126
2	m4.2xlarge	16	64000	8000	5	150000000	3	1216
2	r4.2xlarge	16	122000	10500	5	100000000	3	610
2	r4.2xlarge	16	122000	10500	5	100000000	5	778
2	r4.2xlarge	16	122000	10500	5	100000000	7	2902
2	r4.2xlarge	16	122000	10500	5	100000000	7	3008
2	r4.2xlarge	16	122000	10500	5	100000000	7	3152
2	r4.2xlarge	16	122000	10500	5	100000000	9	1196
2	r4.2xlarge	16	122000	10500	5	100000000	9	2680
2	r4.2xlarge	16	122000	13200	5	125000000	3	798
2	r4.2xlarge	16	122000	13200	5	125000000	5	964
2	r4.2xlarge	16	122000	13200	5	125000000	7	1160
2	r4.2xlarge	16	122000	13200	5	125000000	9	2718
2	r4.2xlarge	16	122000	16000	5	150000000	3	930
2	r4.2xlarge	16	122000	16000	5	150000000	5	1138
2	r4.2xlarge	16	122000	16000	5	150000000	7	856
2	r4.2xlarge	16	122000	18600	5	175000000	3	1752
2	r4.2xlarge	16	122000	18600	5	175000000	5	2686
2	r4.2xlarge	16	122000	18600	5	175000000	7	848
2	r4.2xlarge	16	122000	18600	5	175000000	7	4556
2	r4.2xlarge	16	122000	18600	5	175000000	9	4126
2	r4.2xlarge	16	122000	18600	5	175000000	9	4274
2	r4.2xlarge	16	122000	20300	10	100000000	3	1050
2	r4.2xlarge	16	122000	20300	10	100000000	7	1246
2	r4.2xlarge	16	122000	21300	5	200000000	3	3116
2	r4.2xlarge	16	122000	21300	5	200000000	3	3240
2	r4.2xlarge	16	122000	21300	5	200000000	5	4490
2	r4.2xlarge	16	122000	21300	5	200000000	7	4254
2	r4.2xlarge	16	122000	21300	5	200000000	9	2758
2	r4.2xlarge	16	122000	21300	5	200000000	9	2966
2	r4.2xlarge	16	122000	21300	5	200000000	9	4028
2	r4.2xlarge	16	122000	30500	15	100000000	3	1722
2	r4.2xlarge	16	122000	30500	15	100000000	5	2674
2	r4.2xlarge	16	122000	30500	15	100000000	9	1020
2	r4.xlarge	8	61000	16000	5	150000000	3	3916
4	m4.2xlarge	32	128000	16000	5	150000000	3	446
4	m4.2xlarge	32	128000	16000	5	150000000	3	568
4	r4.2xlarge	32	244000	10500	5	100000000	3	250
4	r4.2xlarge	32	244000	10500	5	100000000	5	308
4	r4.2xlarge	32	244000	13200	5	125000000	3	308
4	r4.2xlarge	32	244000	13200	5	125000000	7	372
4	r4.2xlarge	32	244000	16000	5	150000000	7	440
4	r4.2xlarge	32	244000	18600	5	175000000	3	388
4	r4.2xlarge	32	244000	18600	5	175000000	7	496
4	r4.2xlarge	32	244000	20300	10	100000000	5	394
4	r4.2xlarge	32	244000	21300	5	200000000	3	484
4	r4.2xlarge	32	244000	21300	5	200000000	7	580
4	r4.2xlarge	32	244000	30500	15	100000000	3	432
4	r4.2xlarge	32	244000	30500	15	100000000	7	514
4	r4.xlarge	16	122000	16000	5	150000000	3	1082
6	m4.2xlarge	48	192000	16000	5	150000000	3	240
6	r4.2xlarge	48	366000	10500	5	100000000	3	166
6	r4.2xlarge	48	366000	10500	5	100000000	7	214
6	r4.2xlarge	48	366000	13200	5	125000000	3	202
6	r4.2xlarge	48	366000	13200	5	125000000	7	246
6	r4.2xlarge	48	366000	16000	5	150000000	5	284
6	r4.2xlarge	48	366000	18600	5	175000000	3	246
6	r4.2xlarge	48	366000	18600	5	175000000	7	312
6	r4.2xlarge	48	366000	20300	10	100000000	5	258
6	r4.2xlarge	48	366000	21300	5	200000000	5	348
6	r4.2xlarge	48	366000	21300	5	200000000	7	382
6	r4.2xlarge	48	366000	30500	15	100000000	5	314
6	r4.xlarge	24	183000	16000	5	150000000	3	484
8	m4.2xlarge	64	256000	16000	5	150000000	3	196
8	r4.2xlarge	64	488000	10500	5	100000000	7	170
8	r4.2xlarge	64	488000	13200	5	125000000	5	182
8	r4.2xlarge	64	488000	16000	5	150000000	5	224
8	r4.2xlarge	64	488000	18600	5	175000000	7	242
8	r4.2xlarge	64	488000	20300	10	100000000	5	192
8	r4.2xlarge	64	488000	21300	5	200000000	5	262
8	r4.2xlarge	64	488000	30500	15	100000000	7	250
8	r4.xlarge	32	244000	16000	5	150000000	3	346
10	m4.2xlarge	80	320000	16000	5	150000000	3	152
10	r4.2xlarge	80	610000	10500	5	100000000	5	156
10	r4.2xlarge	80	610000	13200	5	125000000	5	178
10	r4.2xlarge	80	610000	16000	5	150000000	7	182
10	r4.2xlarge	80	610000	18600	5	175000000	7	204
10	r4.2xlarge	80	610000	20300	10	100000000	3	176
10	r4.2xlarge	80	610000	21300	5	200000000	7	236
10	r4.2xlarge	80	610000	30500	15	100000000	5	206
10	r4.xlarge	40	305000	16000	5	150000000	3	248
12	m4.2xlarge	96	384000	16000	5	150000000	3	150
12	r4.2xlarge	96	732000	10500	5	100000000	7	118
12	r4.2xlarge	96	732000	13200	5	125000000	5	158
12	r4.2xlarge	96	732000	16000	5	150000000	7	174
12	r4.2xlarge	96	732000	18600	5	175000000	5	176
12	r4.2xlarge	96	732000	20300	10	100000000	7	148
12	r4.2xlarge	96	732000	21300	5	200000000	5	182
12	r4.2xlarge	96	732000	30500	15	100000000	5	174
12	r4.xlarge	48	366000	16000	5	150000000	3	230
